,enrolled_course,referral_ccm_website,referral_social_media,referral_community_event,referral_family_or_friend,referral_current_ccm_student,referral_ccm_alumni,referral_hs_teacher,referral_hs_counselor,referral_app_ad,referral_employer,referral_billboard,referral_tv,referral_radio,referral_home_mailer,referral_other,impact_cost,impact_location,impact_choice_programs,impact_online_offerings,impact_family_friend_referral,impact_faculty_staff,impact_reputation,impact_financial_aid,impact_scholarships,impact_class_sizes,impact_ec_opps,impact_transfer_credits,impact_neg_experience,impact_nj_stars_program,impact_transfer_ccm_credits,impact_hs_credit,participation_open_house,participation_decision_day,participation_info_session,participation_titans_tuesday,participation_women_who_dare,participation_reg_college_fair,participation_hs_sharetime_info_session,participation_challenger_program,participation_cybersec_program,participation_info_session_hs,participation_campus_visit_hs,participation_campus_visit_individual,participation_workforce_development_class,participation_corporate_training,participation_teen_arts_festival,participation_summer_camp,participation_hour_of_code,impact_hs_computing_class,impact_hs_computing_club,impact_computing_competitions,impact_afterschool_computing_program,impact_summer_computing_program,impact_ap_computing_class,impact_dual_enrollment_computing_class,impact_family_friend_influence,impact_family_friend_computing_field,impact_hs_teacher_counselor,impact_employer_influence,impact_current_ccm_student,impact_work_experience,impact_other,enrolled_degree_program,motivation_job,motivation_transfer_bachelor,motivation_transfer_hs_credits,motivation_career_advancement,motivation_career_change,motivation_professional_development,motivation_job_displacement,motivation_relocation,motivation_keep_current,motivation_it_certifications,motivation_financial,motivation_personal_enrichment,info_source_hs_guidance_counselor,info_source_hs_teacher,info_source_ccm_website,info_source_ccm_admissions,info_source_ccm_advisor,info_source_employer,info_source_ccm_workforce_development,info_source_nj_workforce_development,info_source_other,interest_in_more_classes,explanation_interest_in_classes,gender,race_ethnicity,age
65,CMP 131 Fundamentals of Programming (Python),Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Information Technology,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Not Answered,Not Answered,Man,Hispanic or Latino,21-24
66,CMP 131 Fundamentals of Programming (Python),No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Not Answered,Not Answered,Man,Choose not to reply,19-20
67,CMP 131 Fundamentals of Programming (Python),No,No,No,Yes,No,No,No,No,No,No,No,No,No,Don't recall,No,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Not Answered,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,High Impact,No Impact,No Impact,Not Answered,No Impact,Not Answered,Information Technology,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Not Answered,Not Answered,Man,Black/African American,19-20
68,CMP 131 Fundamentals of Programming (Python),Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,High Impact,Some Impact,High Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Non Degree Seeking,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,4.0,"I understand that coding is very influential to several fields. I am interested in engineering and finance mainly and they both require coding knowledge these days. I feel like my previous schools, Columbia High School and the University of Cincinnati did me a major disservice by not launching me into an actual coding language or not teaching me one at all. My father, grandfather, and neighbors have made a career of it. In short, it has a lot of potential to advance my knowledge. ",Man,White/Caucasian,21-24
69,CMP 131 Fundamentals of Programming (Python),No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Data Analytics Certificate of Achievement,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Don't recall,Yes,Don't recall,No,No,No,No,Not Answered,Not Answered,Man,Multi-Racial,25-34
70,CMP 128 Computer Science I,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Don't recall,Yes,Yes,Yes,No,No,No,No,Not Answered,Not Answered,Woman,White/Caucasian,18 and younger
71,Not Answered,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Not Answered,Data Analytics Certificate of Achievement,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Not Answered,Not Answered,Woman,White/Caucasian,35-64
72,CMP 128 Computer Science I,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,CIS Game Development Option,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Man,White/Caucasian,18 and younger
73,CMP 128 Computer Science I,Don't recall,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,No,No,No,Yes,No,No,Not Sure,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Not Answered,Non Degree Seeking,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,4.0,"I am currently a highschooler attending CCM as my dual enrollment option. I plan on majoring in computer science, specifically in either data science or software engineering. I genuinely enjoy working with computers and I am already taking two introductory compsci courses at the same time, java and python. I plan on learning many more languages as well so I will be taking more classes.",Man,Asian,18 and younger
74,CMP 128 Computer Science I,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Don't recall,No,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Not Answered,Not Answered,Not Answered,High Impact,High Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Undecided,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,4.0,Computer science is a growing field and I find myself interested in possibly pursuing it later on.,Man,Multi-Racial,18 and younger
75,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Engineering,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,3.0,Because I could see it being useful in my future in some way shape or form,Man,White/Caucasian,21-24
76,CMP 128 Computer Science I,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Man,White/Caucasian,18 and younger
77,CMP 128 Computer Science I,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Not Answered,Undecided,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,4.0,"I would be interested in some sense to take another computing class, because it seems interesting to learn how to code run a program.",Man,Hispanic or Latino,18 and younger
78,CMP 128 Computer Science I,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,High Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,Not Answered,Undecided,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,5.0,I am very interested in computing and programming. I tried to teach myself C++ at home a few years back but its difficult without proper guidance. ,Man,White/Caucasian,18 and younger
79,CMP 128 Computer Science I,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Not Answered,Not Answered,Not Answered,High Impact,High Impact,Not Answered,High Impact,Not Answered,High Impact,Not Answered,Not Answered,Computer Science,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Prefer not to say,Choose not to reply,18 and younger
80,CMP 128 Computer Science I,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,Not Answered,Not Answered,Not Answered,High Impact,High Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,High Impact,Not Answered,EDAM,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,3.0,if it relates more to my career i will further pursue coding but i dont currently feel it relates to much to engineering and manufacturing.,Man,White/Caucasian,18 and younger
81,CMP 128 Computer Science I,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Don't recall,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,CIS Game Development Option,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,No,No,No,No,Not Answered,Not Answered,Man,White/Caucasian,18 and younger
82,CMP 128 Computer Science I,No,No,No,Yes,Yes,No,Yes,Yes,Don't recall,Don't recall,No,Yes,Don't recall,No,Don't recall,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,Not Sure,No,Not Sure,Yes,No,Yes,No,Not Sure,No,Yes,Yes,Not Sure,No,No,No,No,No,Some Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Some Impact,Not Answered,High Impact,Some Impact,Some Impact,No Impact,Not Answered,Engineering,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,3.0,I really enjoy coding and taking classes to learns the ins and outs is good but I find coding to be best self taught through practice.,Man,Multi-Racial,21-24
83,CMP 128 Computer Science I,Don't recall,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Woman,White/Caucasian,25-34
84,CMP 128 Computer Science I,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,High Impact,High Impact,High Impact,High Impact,Not Answered,Not Answered,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Not Answered,Not Answered,High Impact,Not Answered,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,Not Answered,High Impact,High Impact,No Impact,High Impact,Some Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Man,Hispanic or Latino,25-34
85,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Don't recall,No,No,Yes,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not Answered,Not Answered,Man,White/Caucasian,25-34
86,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Answered,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Not Answered,Not Answered,Man,White/Caucasian,25-34
87,CMP 128 Computer Science I,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Information Technology,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Not Answered,Not Answered,Man,White/Caucasian,19-20
88,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Information Technology,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Not Answered,Not Answered,Man,Hispanic or Latino,21-24
89,CMP 128 Computer Science I,Yes,No,No,Don't recall,No,No,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Man,Hispanic or Latino,19-20
90,CMP 128 Computer Science I,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Not Answered,Not Answered,Man,White/Caucasian,35-64
91,CMP 128 Computer Science I,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Business Administration,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,4.0,Want to learn more about tech,Woman,Hispanic or Latino,19-20
92,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,High Impact,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Dual Enrollment Student,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,5.0,"I would be, this is the career I would like to do",Non-binary,White/Caucasian,18 and younger
93,CMP 128 Computer Science I,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Not Answered,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Computer Science,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Not Answered,Not Answered,Man,White/Caucasian,25-34
94,CMP 128 Computer Science I,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Engineering,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,3.0,eh,Man,White/Caucasian,25-34
95,CMP 128 Computer Science I,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Not Answered,Not Answered,Some Impact,No Impact,Not Answered,High Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,Some Impact,Some Impact,Not Answered,Not Answered,Not Answered,Some Impact,Some Impact,No Impact,High Impact,Some Impact,No Impact,Digital Media Technology,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Don't recall,Yes,Yes,Yes,No,Don't recall,Don't recall,No,Not Answered,Not Answered,Man,Hispanic or Latino,21-24
96,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,High Impact,High Impact,High Impact,Not Answered,Not Answered,Not Answered,High Impact,Not Answered,Not Answered,Not Answered,High Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Engineering,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,3.0,I am interested in other things ,Man,White/Caucasian,21-24
97,CMP 128 Computer Science I,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Not Answered,High Impact,High Impact,Not Answered,Some Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,Not Answered,Not Answered,Not Answered,High Impact,High Impact,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,EDAM,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,3.0,"I’m not really sure how I feel about the computing class. Since it wasn’t a class that I chose and since we’ve only met 4 times, I’m not really sure how I feel about the class. ",Man,White/Caucasian,18 and younger
